"番号","投与区分","厚労省コード","医薬品名","一般名","規格単位","会社名","薬価","旧薬価","先発・後発","規制区分","経過措置日","HOT番号","レセ電算コード(1)","置き換え率","一般名処方マスタ","YJコード","薬効87分類","拡張薬効分類","成分名","販売中止予定日"
"1","内","","アンジュ28錠","レボノルゲストレル・エチニルエストラジオール錠(4)","(28日分)1組","あすか製薬=武田","","","","処","","187033602","","","なし","254910BF4054","泌尿生殖器官及び肛門用薬－避妊剤－配合剤","卵胞ホルモン・黄体ホルモン混合製剤-内用,経口避妊薬","レボノルゲストレル・エチニルエストラジオール","-"
"2","内","","ザガーロカプセル0.1mg","デュタステリドカプセル","0.1mg1カプセル","GSK","","","","劇処","","187739701","","","なし","249900AM1023","ホルモン剤（抗ホルモン剤を含む。）－その他のホルモン剤（抗ホルモン剤を含む。）－その他","毛髪用剤,5α還元酵素阻害薬","デュタステリド","-"
"3","内","","ザガーロカプセル0.5mg","デュタステリドカプセル","0.5mg1カプセル","GSK","","","","劇処","","187740301","","","なし","249900AM2020","ホルモン剤（抗ホルモン剤を含む。）－その他のホルモン剤（抗ホルモン剤を含む。）－その他","毛髪用剤,5α還元酵素阻害薬","デュタステリド","-"
"4","内","","トリキュラー錠21","レボノルゲストレル・エチニルエストラジオール錠(1)","(21日分)1組","バイエル","","","","処","","","","","なし","254910BF1047","泌尿生殖器官及び肛門用薬－避妊剤－配合剤","卵胞ホルモン・黄体ホルモン混合製剤-内用,経口避妊薬","レボノルゲストレル・エチニルエストラジオール","2022/12/31"
"5","内","","トリキュラー錠28","レボノルゲストレル・エチニルエストラジオール錠(2)","(28日分)1組","バイエル","","","","処","","187043502","","","なし","254910BF2043","泌尿生殖器官及び肛門用薬－避妊剤－配合剤","卵胞ホルモン・黄体ホルモン混合製剤-内用,経口避妊薬","レボノルゲストレル・エチニルエストラジオール","-"
"6","内","","プロペシア錠0.2mg","フィナステリド錠","0.2mg1錠","オルガノン","","","","劇処","","187070102","","","なし","249900XF1021","ホルモン剤（抗ホルモン剤を含む。）－その他のホルモン剤（抗ホルモン剤を含む。）－その他","毛髪用剤,5α還元酵素阻害薬","フィナステリド","-"
"7","内","","プロペシア錠1mg","フィナステリド錠","1mg1錠","オルガノン","","","","劇処","","187071802","","","なし","249900XF2028","ホルモン剤（抗ホルモン剤を含む。）－その他のホルモン剤（抗ホルモン剤を含む。）－その他","毛髪用剤,5α還元酵素阻害薬","フィナステリド","-"
"8","内","","マーベロン21","デソゲストレル・エチニルエストラジオール錠(1)","(21日分)1組","オルガノン","","","","処","","187046604","","","なし","254910CF1025","泌尿生殖器官及び肛門用薬－避妊剤－配合剤","卵胞ホルモン・黄体ホルモン混合製剤-内用,経口避妊薬","デソゲストレル・エチニルエストラジオール","-"
"9","内","","ロタリックス内用液","経口弱毒生ヒトロタウイルスワクチン","1.5mL1本","GSK","","","","劇処","","182084301","","","なし","631300AS1020","生物学的製剤－ワクチン類－ウイルスワクチン類","生ワクチン","経口弱毒生ヒトロタウイルスワクチン","-"
"10","内","1124001F1022","ユーロジン1mg錠","エスタゾラム錠","1mg1錠","T's製薬=武田","6.30","6.10","先発品","向処","","100328401","611120080","☆","なし","1124001F1022","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","催眠鎮静薬-内用(ベンゾジアゼピン系)","エスタゾラム","-"
"11","内","1124008F1024","サイレース錠1mg","フルニトラゼパム錠","1mg1錠","エーザイ","6.40","7.40","先発○","向処","","100382601","611120087","2","あり","1124008F1024","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","催眠鎮静薬-内用(ベンゾジアゼピン系)","フルニトラゼパム","-"
"12","内","1124010F1021","エバミール錠1.0","ロルメタゼパム錠","1mg1錠","丸石","9.50","10.90","先発品","向処","","100400703","611120118","1","なし","1124010F1021","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","催眠鎮静薬-内用(ベンゾジアゼピン系)","ロルメタゼパム","-"
"13","内","1124014F1038","セパゾン錠1","クロキサゾラム錠","1mg1錠","アルフレッサファーマ","6.30","5.90","先発品","向処","","100418202","611170159","1","なし","1124014F1038","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","クロキサゾラム","-"
"14","内","1124017F2151","ホリゾン錠2mg","ジアゼパム錠","2mg1錠","丸石","6.40","6.20","準先発","向処","","100438002","611170373","","あり","1124017F2151","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","ジアゼパム","-"
"15","内","1124020F1025","レキソタン錠1","ブロマゼパム錠","1mg1錠","サンドファーマ=サンド","6.30","5.90","先発品","向処","","100470003","611170434","☆","なし","1124020F1025","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","ブロマゼパム","-"
"16","内","1124020F2030","レキソタン錠2","ブロマゼパム錠","2mg1錠","サンドファーマ=サンド","6.30","6.10","先発○","向処","","100472403","611170435","2","あり","1124020F2030","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","ブロマゼパム","-"
"17","内","1124022F1067","ワイパックス錠0.5","ロラゼパム錠","0.5mg1錠","ファイザー","6.30","6.10","先発○","向処","","100493903","611170470","2","あり","1124022F1067","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","ロラゼパム","-"
"18","内","1124023F1037","ソラナックス0.4mg錠","アルプラゾラム錠","0.4mg1錠","ヴィアトリス","6.30","6.10","先発○","向処","","100497704","611170508","2","あり","1124023F1037","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","アルプラゾラム","-"
"19","内","1124026F1022","グランダキシン錠50","トフィソパム錠","50mg1錠","持田","6.90","8.20","先発○","処","","100512701","611170639","2","あり","1124026F1022","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","自律神経調節薬(ベンゾジアゼピン系)","トフィソパム","-"
"20","内","1124028F1013","5mgコントール錠","クロルジアゼポキシド錠","5mg1錠","T's製薬=武田","10.80","10.10","","向処","","100533201","611170778","","なし","1124028F1030","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","クロルジアゼポキシド","-"
"21","内","1124029F1026","メイラックス錠1mg","ロフラゼプ酸エチル錠","1mg1錠","MeijiSeika","10.80","10.40","先発○","向処","","100536301","611170689","2","あり","1124029F1026","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","ロフラゼプ酸エチル","-"
"22","内","1124029F2022","メイラックス錠2mg","ロフラゼプ酸エチル錠","2mg1錠","MeijiSeika","12.70","15.10","先発○","向処","","100545501","611170690","2","あり","1124029F2022","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","抗不安薬-内用(ベンゾジアゼピン系)","ロフラゼプ酸エチル","-"
"23","内","1124030F1029","ドラール錠15","クアゼパム錠","15mg1錠","久光","30.90","43.50","先発○","向処","","100550903","610432030","2","あり","1124030F1029","中枢神経系用薬－催眠鎮静剤,抗不安剤－ベンゾジアゼピン系製剤","催眠鎮静薬-内用(ベンゾジアゼピン系)","クアゼパム","-"
"24","内","1125003B2031","フェノバール散10%","フェノバルビタール散10%","10%1g","藤永=第一三共","10.00","7.70","","劇向処","","100565302","620000465","","なし","1125003B2031","中枢神経系用薬－催眠鎮静剤,抗不安剤－バルビツール酸系及びチオバルビツール酸系製剤","催眠鎮静薬-内用(バルビツール酸系),抗てんかん薬-内用(バルビツール酸系)","フェノバルビタール","-"
"25","内","1125004F1023","フェノバール錠30mg","フェノバルビタール錠","30mg1錠","藤永=第一三共","10.80","10.40","","劇向処","","100567701","611120063","","なし","1125004F1023","中枢神経系用薬－催眠鎮静剤,抗不安剤－バルビツール酸系及びチオバルビツール酸系製剤","催眠鎮静薬-内用(バルビツール酸系),抗てんかん薬-内用(バルビツール酸系)","フェノバルビタール","-"
"26","内","1129006F1021","リスミー錠1mg","リルマザホン塩酸塩水和物錠","1mg1錠","共和薬品","10.80","10.40","先発品","処","","100589902","611120113","1","なし","1129006F1021","中枢神経系用薬－催眠鎮静剤,抗不安剤－その他","催眠鎮静薬-内用(ベンゾジアゼピン系)","リルマザホン塩酸塩水和物","-"
"27","内","1129006F2028","リスミー錠2mg","リルマザホン塩酸塩水和物錠","2mg1錠","共和薬品","13.80","16.20","先発品","処","","100590502","611120114","1","なし","1129006F2028","中枢神経系用薬－催眠鎮静剤,抗不安剤－その他","催眠鎮静薬-内用(ベンゾジアゼピン系)","リルマザホン塩酸塩水和物","-"
"28","内","1129008F2019","タンドスピロンクエン酸塩錠10mg「トーワ」","タンドスピロンクエン酸塩10mg錠","10mg1錠","東和薬品","8.40","9.30","後発品","劇処","","118006001","620005517","3","あり","1129008F2043","中枢神経系用薬－催眠鎮静剤,抗不安剤－その他","抗不安薬-内用(セロトニン作動性)","タンドスピロンクエン酸塩","-"
"29","内","1129009F3010","ゾルピデム酒石酸塩OD錠5mg「サワイ」","ゾルピデム酒石酸塩5mg口腔内崩壊錠","5mg1錠","沢井","10.80","10.40","後発品","向処","","121680601","622168001","3","あり","1129009F3044","中枢神経系用薬－催眠鎮静剤,抗不安剤－その他","催眠鎮静薬-内用(その他)","ゾルピデム酒石酸塩","-"
